crop,commodity_id,district,district_id,market,variety,observed_days,oldest_date,newest_date,eligible_120
Cotton,15,Unknown,,Kalediya APMC,Shanker 6 (B) 30mm FIne,530,2025-01-03,2026-09-23,YES
Cotton,15,Unknown,,Modasar APMC,Shanker 6 (B) 30mm FIne,524,2025-01-03,2026-09-23,YES
Cotton,15,Unknown,,Hadad     APMC,Shanker 6 (B) 30mm FIne,517,2025-01-03,2026-09-23,YES
Cotton,15,Unknown,,Bodeliu APMC,Shanker 6 (B) 30mm FIne,489,2025-01-03,2026-09-23,YES
Cotton,15,Unknown,,Rajkot APMC,Narma BT Cotton,487,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,JASDAN APMC,Shanker 6 (B) 30mm FIne,434,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Jetpur(Dist.Rajkot) APMC,Cotton (Unginned),427,2025-01-02,2026-07-31,YES
Cotton,15,Unknown,,Rajula APMC,Local,402,2025-01-02,2026-09-23,YES
Cotton,15,Unknown,,Babra APMC,Shanker 6 (B) 30mm FIne,399,2025-01-17,2026-09-23,YES
Cotton,15,Unknown,,Jamnagar APMC,Other,384,2025-01-20,2026-09-23,YES
Cotton,15,Unknown,,Savarkundla APMC,Narma BT Cotton,381,2025-01-02,2026-06-22,YES
Cotton,15,Unknown,,The Agricultural Produce Market Committee-Amreli,Other,377,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,APMC Bagasara,Other,361,2025-01-03,2026-09-23,YES
Cotton,15,Unknown,,Bhesan APMC,Other,326,2025-01-04,2026-09-23,YES
Cotton,15,Unknown,,Gondal APMC,H.B (Unginned),317,2025-01-04,2026-09-22,YES
Cotton,15,Unknown,,Jambusar APMC,Other,291,2025-01-03,2025-11-06,YES
Cotton,15,Unknown,,Jambusar(Kaavi) APMC,Other,291,2025-01-03,2025-11-06,YES
Cotton,15,Unknown,,Bhavnagar APMC,Other,283,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Vankaner APMC,Other,277,2025-01-06,2026-09-23,YES
Cotton,15,Unknown,,Taleja APMC,Shanker 6 (B) 30mm FIne,276,2025-01-01,2026-07-01,YES
Cotton,15,Unknown,,Visnagar APMC,Other,276,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Patan APMC,Other,257,2025-01-02,2026-09-22,YES
Cotton,15,Unknown,,Kalawad APMC,Other,255,2025-01-04,2026-09-14,YES
Cotton,15,Unknown,,Unava APMC,Other,244,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Viramgam APMC,Other,222,2025-01-03,2026-09-21,YES
Cotton,15,Unknown,,Botad(Haddad) APMC,Shanker 6 (B) 30mm FIne,215,2025-01-02,2025-11-07,YES
Cotton,15,Unknown,,Chotila APMC,Shanker 6 (B) 30mm FIne,211,2025-01-01,2026-04-22,YES
Cotton,15,Unknown,,Dhoraji APMC,H.B (Unginned),211,2025-01-03,2026-09-21,YES
Cotton,15,Unknown,,Siddhpur APMC,H.Y.4 (Unginned),207,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Mahuva(Station Road) APMC,Shanker 6 (B) 30mm FIne,205,2025-01-02,2026-09-17,YES
Cotton,15,Unknown,,Dhari APMC,Local,204,2025-01-02,2026-09-23,YES
Cotton,15,Unknown,,Vadali APMC,Other,202,2025-01-02,2026-04-15,YES
Cotton,15,Unknown,,Jam Jodhpur APMC,Other,200,2025-11-07,2026-09-21,YES
Cotton,15,Unknown,,Dhragradhra APMC,RCH-2,198,2025-01-01,2026-09-23,YES
Cotton,15,Unknown,,Jam Jodhpur APMC,Bunny,193,2025-03-01,2026-01-17,YES
Cotton,15,Unknown,,Manavdar APMC,Cotton (Unginned),190,2025-01-01,2026-05-27,YES
Cotton,15,Unknown,,Dhrol APMC,Other,183,2025-01-02,2026-09-23,YES
Cotton,15,Unknown,,Himatnagar APMC,Cotton (Unginned),181,2025-01-02,2026-09-23,YES
Cotton,15,Unknown,,APMC HALVAD,Other,168,2025-01-01,2025-11-15,YES
Cotton,15,Unknown,,Morbi APMC,Other,167,2025-11-08,2026-09-23,YES
Cotton,15,Unknown,,APMC HALVAD,Local,162,2025-11-17,2026-09-23,YES
Cotton,15,Unknown,,Botad(Haddad) APMC,Cotton (Unginned),162,2025-12-01,2026-09-22,YES
Cotton,15,Unknown,,Jasdan(Vichhiya) APMC,Shanker 6 (B) 30mm FIne,162,2025-01-28,2026-06-11,YES
Cotton,15,Unknown,,Limdi APMC,Shanker 6 (B) 30mm FIne,160,2025-01-01,2026-04-30,YES
Cotton,15,Unknown,,Morbi APMC,Local,155,2025-01-01,2025-11-05,YES
Cotton,15,Unknown,,Thara APMC,RCH-2,154,2025-01-01,2026-02-26,YES
Cotton,15,Unknown,,Dhandhuka APMC,Other,153,2025-11-07,2026-05-16,YES
Cotton,15,Unknown,,Nizar APMC,Other,148,2025-01-02,2025-11-11,YES
Cotton,15,Unknown,,Upleta APMC,Other,135,2025-01-02,2026-01-05,YES
Groundnut,10,Unknown,,Rajkot APMC,Bold,480,2025-01-01,2026-09-23,YES
Groundnut,10,Unknown,,Rajkot APMC,G20,480,2025-01-01,2026-09-23,YES
Groundnut,10,Unknown,,Porbandar APMC,Bold,461,2025-01-02,2026-09-23,YES
Groundnut,10,Unknown,,Morbi APMC,Other,435,2025-01-01,2026-09-23,YES
Groundnut,10,Unknown,,JASDAN APMC,G20,429,2025-01-01,2026-09-23,YES
Groundnut,10,Unknown,,Jetpur(Dist.Rajkot) APMC,Other,425,2025-01-02,2026-09-23,YES
Groundnut,10,Unknown,,Jamnagar APMC,Other,422,2025-01-20,2026-09-23,YES
Groundnut,10,Unknown,,Veraval APMC,G20,413,2025-01-01,2026-09-23,YES
